user_id,location,age
29654,"offenbach, hessen, germany",42.0
30487,"newbury park, california, usa",40.0
30533,"charleston, south carolina, usa",
31315,"henryville, indiana, usa",
31556,"chula vista, california, usa",51.0
32516,"st. rose, louisiana, usa",44.0
35857,"mentor, ohio, usa",36.0
35859,"duluth, minnesota, usa",
36606,"san marcos, california, usa",39.0
37874,"williamsburg, virginia, usa",43.0
38718,"aloha, ,",
38991,"cumby, texas, usa",68.0
39345,"jacksonville, florida, usa",47.0
39646,"fairless hills, pennsylvania, usa",35.0
40889,"brainerd, minnesota, usa",37.0
41781,"clinton twp., michigan, usa",54.0
44663,"klang, selangor, malaysia",
46389,"pine knoll shores, north carolina, usa",55.0
47971,"toronto, ontario, canada",40.0
48268,"vienna, vienna, austria",18.0
48911,"new orleans, louisiana, usa",57.0
49994,"clintonville, wisconsin, usa",40.0
52584,"livermore, california, usa",45.0
52994,"colton, oregon, usa",
54005,"lacey, washington, usa",59.0
54884,"nashua, new hampshire, usa",33.0
55027,"burlington, north carolina, usa",44.0
55492,"antioch, illinois, usa",43.0
57108,"new york, new york, usa",38.0
57423,"coburg, oregon, usa",
57632,"pearland, texas,",
59038,"san antonio, texas, usa",28.0
59390,"uniontown, pennsylvania, usa",
60130,"lowell, arkansas, usa",41.0
60569,"chardon, ohio, usa",41.0
62667,"warsaw, virginia, usa",53.0
62881,"milwaukee, wisconsin, usa",39.0
64535,"fredericksburg, virginia, usa",43.0
64679,"buffalo grove, illinois, usa",
66387,"kokomo, indiana, usa",52.0
67487,"melbourne, florida, usa",33.0
68256,"chickasha, oklahoma, usa",28.0
68537,"friendswood, texas, usa",70.0
69232,"mooresville, north carolina, usa",55.0
70205,"fresno, california, usa",
70666,"warwick, rhode island, usa",18.0
72523,"grand island, new york, usa",
72975,"minneapolis, minnesota, usa",21.0
74709,"macomb, michigan, usa",21.0
75819,"west falls, new york, usa",
76352,"olympia, washington, usa",58.0
76368,"langley, british columbia, canada",
76942,"sacramento, california, usa",25.0
78834,"honolulu, hawaii, usa",28.0
78973,"amadora, lisboa, portugal",29.0
79186,"fairbanks, alaska, usa",37.0
79740,"st. louis, missouri, usa",24.0
80810,"warrensburg, missouri, usa",33.0
81088,"romsey, hampshire, united kingdom",18.0
81298,"savannah, georgia, usa",20.0
82893,"san antonio, texas, usa",40.0
84024,"abilene, texas, usa",37.0
85534,"cleveland, ohio, usa",49.0
86303,"denver, colorado, usa",31.0
86969,"forest grove, oregon, usa",59.0
87257,"coeur d`alene, idaho, usa",
87929,"portland, maine, usa",25.0
88006,"fresno, california, usa",27.0
90322,"lakeland, minnesota, usa",
91832,"miami, florida, usa",
93363,"farmington hills, michigan, usa",30.0
93643,"bergheim, texas, usa",
93800,"mount vernon, washington, usa",52.0
94396,"shoreline, washington, usa",62.0
97721,"castro valley, california, usa",46.0
98012,"friday harbor, washington, usa",48.0
98468,"eugene, oregon, usa",33.0
98723,"cincinnati, ohio, usa",29.0
98923,"liberty township, ohio, usa",
100009,"victoria, british columbia, canada",49.0
100393,"riverside, california, usa",
101209,"ft huachuca, arizona, usa",44.0
102647,"modesto, california, usa",14.0
102967,"olympia, washington, usa",54.0
103315,"norton, ohio, usa",32.0
103416,"tucson, arizona, usa",33.0
105124,"sarasota, ,",
105937,"tampa, florida, usa",27.0
105979,"oakland, california, usa",26.0
106230,"dumas, texas, usa",
107244,"appleton, wisconsin, usa",50.0
107784,"tarentum, pennsylvania, usa",
108143,"cincinnati, ohio, usa",17.0
110440,"fairfax, virginia, usa",29.0
110558,"los angeles, california, usa",
110973,"wiley ford, west virginia, usa",43.0
112001,"barren springs, virginia, usa",43.0
112093,"spencer, indiana, usa",35.0
112280,"saint  charles, missouri, usa",50.0
113328,"painted post, new york, usa",
114544,"antelope, california, usa",35.0
115003,"asheville, north carolina, usa",43.0
115120,"sherman oaks, california, usa",29.0
116428,"pickering, ontario, canada",47.0
117594,"moline, illinois, usa",26.0
118659,"blacksburg, virginia, usa",37.0
120396,"boyce, virginia, usa",46.0
120771,"garland, texas, usa",49.0
122440,"vancouver, british columbia, canada",29.0
122658,"atlanta, georgia, usa",
123430,"manning, south carolina, usa",
123790,"mount vernon, new york, usa",25.0
123981,"phoenix, arizona, usa",46.0
124259,"boulder, colorado, usa",34.0
124363,"tallahassee, florida, usa",36.0
124487,"ramah, new mexico, usa",
125039,"lafayette, indiana, usa",27.0
125519,"irvine, california, usa",40.0
126492,"westmont, illinois, usa",31.0
127200,"urbana, illinois, usa",
128208,"san antonio, texas, usa",
129084,"boise, idaho, usa",39.0
130784,"ferndale, washington, usa",
131046,"ellington, connecticut, usa",26.0
131837,"west valley city, utah, usa",
133706,"palmyra, western australia, australia",30.0
133738,"indianapolis, indiana, usa",28.0
134264,"phoenix, arizona, usa",
134797,"elk grove, california, usa",
134863,"san jose, california, usa",
135149,"ft. pierce, florida, usa",
135831,"potomac falls, virginia, usa",
136396,"warren, ohio, usa",
137589,"enterprise, oregon, usa",35.0
141444,"west springfield, massachusetts,",
143134,"marion, arkansas, usa",27.0
143253,"dyersburg, tennessee, usa",27.0
143939,"ellensburg, washington, usa",
144062,"stow, massachusetts, usa",16.0
144255,"riedstadt, hessen, germany",
144478,"galveston, texas, usa",39.0
144531,"pleasanton, california, usa",37.0
145619,"middletown, connecticut, usa",36.0
146113,"cary, north carolina, usa",
146279,"camdenton, missouri, usa",42.0
147965,"lake wales, florida, usa",
149120,"hillsdale, michigan, usa",
150896,"vancouver, washington, usa",30.0
151063,"san antonio, texas, usa",70.0
152354,"boston, massachusetts, usa",
152696,"studio city, california, usa",
153513,"little rock, arkansas, usa",31.0
153718,"round lake, illinois, usa",27.0
154730,"encinitas, california, usa",42.0
155495,"hood river, oregon, usa",26.0
156300,"pinon hills, california, usa",49.0
159440,"lille, nord, france",27.0
159506,"portland, oregon, usa",28.0
160735,"blaine, minnesota, usa",39.0
160819,"miami, florida, usa",43.0
161870,"steubenville, ohio, usa",
163194,"west linn, ,",57.0
164323,"delta, british columbia, canada",31.0
165618,"pforzheim, baden-wuerttemberg, germany",
165884,"louisville, kentucky, usa",
166391,"hanover, pennsylvania, usa",60.0
167038,"kissimmee, florida, usa",
167800,"olive branch, mississippi, usa",57.0
168132,"middletown, maryland, usa",37.0
169403,"marietta, georgia, usa",43.0
170518,"gaithersburg, maryland, usa",61.0
171078,"langley, british columbia, canada",43.0
172539,"lakewood, california, usa",
172742,"astoria, oregon, usa",44.0
173415,"chicago, illinois, usa",31.0
173684,"chula vista, california, usa",15.0
174642,"zelienople, pennsylvania, usa",
175117,"royersford, pennsylvania, usa",
176477,"university heights, ohio, usa",46.0
176790,"irvine, california, usa",43.0
176894,"salt lake city, utah, usa",32.0
178130,"auburn, washington, usa",45.0
179068,"omaha, nebraska, usa",30.0
182459,"fort wayne, indiana, usa",28.0
182746,"jacksonville, florida, usa",44.0
185384,"st. charles, missouri, usa",
185722,"long beach, california, usa",24.0
186570,"rantoul, illinois, usa",28.0
187266,"gordon, nebraska, usa",66.0
189655,"pittsburgh, pennsylvania, usa",
190741,"corpus christi, texas, usa",52.0
192353,"las vegas, nevada, usa",26.0
193529,"florissant, missouri, usa",51.0
193898,"paradise, pennsylvania, usa",
195469,"congers, new york, usa",39.0
195694,"tucson, arizona, usa",29.0
197364,"cumming, georgia, usa",30.0
198046,"milwaukee, wisconsin, usa",51.0
198412,"waretown, new jersey, usa",17.0
198483,"silver spring, maryland, usa",
198711,"little canada, minnesota, usa",62.0
199092,"rotterdam, zuid-holland, netherlands",50.0
199640,"bellingham, washington, usa",
200234,"r.r.#1 battersea, ontario, canada",53.0
200402,"campbell, california, usa",35.0
201548,"rheinfelden, baden-wuerttemberg, germany",29.0
203649,"mount vernon, kentucky, usa",41.0
204504,"woodside, new york, usa",41.0
205963,"santa clara, california, usa",56.0
206423,"columbia, maryland, usa",
207259,"florence, oregon, usa",38.0
207291,"brisbane, queensland, australia",
207782,"midland, texas, usa",28.0
207825,"fairbanks, alaska, usa",52.0
208147,"federal way, washington, usa",41.0
210276,"north fort myers, ,",67.0
210717,"wantagh, new york, usa",42.0
210838,"springfield, illinois, usa",66.0
213760,"omaha, nebraska, usa",32.0
214786,"boone county, kentucky, usa",
215256,"sun valley, california, usa",
216670,"pensacola, florida, usa",
216683,"san jose, california, usa",
217375,"st. petersburg, florida, usa",35.0
217516,"loudoun county, virginia, usa",56.0
217986,"ypsilanti, michigan, usa",35.0
218121,"brighton, colorado, usa",
221445,"portland, oregon, usa",
222217,"hamburg, hamburg, germany",25.0
224435,"warren, michigan, usa",24.0
224764,"rockaway, new jersey, usa",
225717,"warsaw, mazowiecka, poland",33.0
225810,"el cajon, california, usa",56.0
225989,"palmdale, california, usa",27.0
226638,"reno, nevada, usa",50.0
227392,"waltham, massachusetts, usa",30.0
229011,"mclean, virginia, usa",
231237,"waianae, hawaii, us",
232131,"oakland, california, usa",
232271,"iowa city, iowa, usa",46.0
232945,"newport, rhode island, usa",28.0
233731,"kingston, ontario, canada",44.0
234623,"scarborough, maine, usa",
235059,"aurora, illinois, usa",24.0
235842,"griswold, iowa, usa",41.0
235935,"bridgeton, new jersey, usa",43.0
236172,"chesapeake, virginia, usa",
240024,"amarillo, texas, usa",40.0
240144,"muskego, wisconsin, usa",
240567,"hawthorne, new jersey, usa",33.0
240951,"austin, minnesota, usa",41.0
241306,"colfax, north carolina, usa",32.0
241548,"saratoga, california, usa",44.0
241666,"san francisco, california, usa",35.0
241980,"ashburn, virginia, usa",35.0
242843,"scottsdale, arizona, usa",43.0
242891,"rockwall, texas, usa",84.0
243930,"montreuil, seine saint-denis, france",43.0
244349,"los banos, california, usa",40.0
244627,"shelbyville, tennessee, usa",32.0
244761,"santa rosa, california, usa",
245616,"sacramento, california, usa",28.0
245963,"saint louis, missouri, usa",
246333,"memphis, tennessee, usa",31.0
246655,"mooresville, north carolina, usa",
250101,"phoenix, arizona, usa",61.0
250184,"renton, washington, usa",
251122,"hartley, iowa, usa",
251377,"sacramento, california, usa",
251613,"sonoma, california, usa",
253106,"westchester county, new york, usa",45.0
254971,"boise, idaho, usa",53.0
255719,"columbus, ohio, usa",30.0
256407,"florissant, missouri, usa",58.0
256925,"louisville, kentucky, usa",32.0
258534,"mcqueeney, texas, usa",32.0
258884,"belvidere, illinois, usa",
259078,"fairbanks, alaska, usa",49.0
259223,"twin falls, idaho, idaho, usa",82.0
259543,"south san francisco, california, usa",
260897,"chicago, illinois, usa",25.0
261829,"fpo, ap, usa",32.0
263163,"austin, texas, usa",26.0
263877,"victoria, british columbia, canada",44.0
265115,"vista, california, usa",
265276,"missoula, montana, usa",39.0
265313,"morrisville, north carolina, usa",33.0
266268,"camden, south carolina, usa",
268330,"miami, florida, usa",23.0
269566,"seattle, washington, usa",9.0
271284,"alexandria, virginia, usa",50.0
271558,"henderson, nevada, usa",35.0
273190,"coconut grove, ,",71.0
273979,"bloomsburg, pennsylvania, usa",20.0
274308,"delray beach, florida, usa",33.0
274823,"austin, texas, usa",
276641,"porto, porto, portugal",25.0
277478,"schiedam, zuid-holland, netherlands",31.0
3373,"elk grove, california, usa",30.0
5555,"perigny, poitou-charentes, france",
6242,"calgary, alberta, canada",
7210,"rothesay, new brunswick, canada",
8362,"los angeles, california, usa",28.0
8570,"rochester, new york, usa",23.0
12863,"london, england, united kingdom",29.0
14449,"saskatoon, saskatchewan, canada",72.0
16231,"kanata, ontario, canada",32.0
17003,"carlsbad, california, usa",
20265,"tampa, florida, usa",29.0
21870,"carlisle, pennsylvania, usa",
22625,"lynbrook, new york, usa",54.0
28056,"lancaster, pennsylvania, usa",36.0
32793,"quebec, quebec, canada",22.0
34588,"west linn, oregon, usa",
34864,"belfort, franche-comté, france",39.0
36715,"lexington, kentucky, usa",
36907,"dunnville, ontario, canada",39.0
40330,"germantown, maryland, usa",
40612,"sterling heights, michigan, usa",25.0
43619,"shrewsbury, massachusetts, usa",26.0
49980,"new hartford, new york, usa",27.0
57105,"roswell, georgia, usa",32.0
58363,"colorado springs, colorado, usa",81.0
61619,"coburg, oregon, usa",
63956,"emporia, kansas, usa",28.0
64763,"chicago, illinois, usa",43.0
68943,"coventry, connecticut, usa",
69378,"mililani, hawaii, usa",46.0
75723,"farmington hills, michigan, usa",
77181,"louisville, kentucky, usa",33.0
80683,"new castle, delaware, usa",27.0
80837,"fort myers, florida, usa",
82407,"washington, dc, usa",
85656,"cottage grove, oregon, usa",41.0
86219,"ludwigshafen, rheinland-pfalz, germany",26.0
86243,"christchurch, canterbury, new zealand",
86835,"mercer island, ,",
87746,"wallingford, connecticut, usa",52.0
91931,"new westminster, british columbia, canada",40.0
92810,"manistee, michigan, usa",60.0
93698,"halfmoon bay, british columbia, canada",70.0
95932,"manchester, new hampshire, usa",36.0
99946,"chicago, illinois, usa",
100459,"bay area, california, usa",38.0
101559,"winchester, virginia, usa",
101851,"keizer, oregon, usa",29.0
102359,"springfield, oregon, usa",
102430,"portage, wisconsin, usa",37.0
104796,"anchorage, alaska, usa",38.0
105214,"pittsburgh, pennsylvania, usa",34.0
105517,"calgary, alberta, canada",28.0
107258,"lowell, massachusetts, usa",
108005,"greenfield, wisconsin, usa",29.0
112026,"lakewood, washington, usa",17.0
114698,"olympia, washington, usa",81.0
116210,"oisterwijk, noord-brabant, netherlands",46.0
118135,"porto, porto, portugal",29.0
119858,"centennial, colorado, usa",53.0
120807,"corrales, new mexico, usa",43.0
124298,"stockton, california, usa",25.0
124874,"warren, new jersey, usa",32.0
125774,"tehran, tehran, iran",36.0
129373,"mercer island, ,",54.0
129716,"tallahassee, florida, usa",30.0
132930,"wokingham, england, united kingdom",29.0
136205,"crest hill, illinois, usa",39.0
143968,"wesley chapel, florida, usa",39.0
146932,"miami, florida, usa",30.0
148744,"campbellsport, wisconsin, usa",67.0
150968,"manchester, new hampshire, usa",47.0
153042,"ann arbor, michigan, usa",35.0
153662,"ft. stewart, georgia, usa",44.0
156150,"howell, new jersey, usa",36.0
157273,"dripping springs, texas, usa",37.0
157799,"heemstede, noord holland, netherlands",42.0
159732,"watchung, new jersey, usa",47.0
160032,"heidelberg, baden-württemberg, germany",34.0
165319,"tucson, arizona, usa",28.0
167812,"vancouver, washington, usa",38.0
171295,"silver spring, maryland, usa",27.0
173018,"christchurch, canterbury, new zealand",
174326,"winnipeg, manitoba, canada",38.0
174633,"nashville, tennessee, usa",31.0
175003,"round rock, texas, usa",33.0
176838,"helsinki, uusimaa, finland",27.0
178667,"freehold, new jersey, usa",
184299,"omaha, nebraska, usa",31.0
187145,"grapeview, washington, usa",65.0
196457,"seattle, washington, usa",
202182,"st. charles, illinois, usa",24.0
204864,"simi valley, california, usa",47.0
204909,"salt lake city, utah, usa",
207965,"eugene, oregon, usa",46.0
212847,"angleton, texas, usa",
212849,"ft. lauderdale, florida, usa",59.0
215388,"citrus heights, california, usa",
221232,"rock hill, south carolina, usa",21.0
223402,"san carlos, california, usa",36.0
224138,"carlsbad, california, usa",
224236,"neptune, new jersey, usa",
227025,"saskatoon, saskatchewan, canada",33.0
227275,"saskatoon, saskatchewan, canada",47.0
227884,"virginia beach, virginia, usa",25.0
230249,"glen rock, pennsylvania, usa",
231210,"roanoke, virginia, usa",44.0
234205,"lake worth, florida, usa",15.0
235011,"seattle, washington, usa",
237436,"idaho falls, idaho, usa",
238120,"louisville, kentucky, usa",25.0
240401,"denver, colorado, usa",64.0
241214,"de soto, ,",
243879,"los angeles, california, usa",32.0
244171,"moline, illinois, usa",51.0
250764,"cove, oregon, usa",
250892,"st. petersburg, florida, usa",21.0
251150,"east setuaket, new york, usa",
253855,"edmonton, alberta, canada",29.0
254160,"millbrae, california, usa",33.0
258109,"hamburg, hamburg, germany",37.0
264543,"quincy, massachusetts, usa",
264657,"st. louis, missouri, usa",23.0
266283,"walla walla, washington, usa",62.0
269688,"chicago, illinois, usa",
269799,"new york, new york, usa",
271135,"ann arbor, michigan, usa",
271144,"albuquerque, new mexico, usa",25.0
274056,"seattle, washington, usa",24.0
277711,"mannheim, baden-wuerttemberg, germany",
278418,"omaha, nebraska, usa",
7913,"mission hills, california, usa",43.0
58516,"rocky river, ohio, usa",30.0
59971,"kingwood, texas, usa",27.0
60244,"alvin, texas, usa",47.0
79089,"nickerson, kansas, usa",29.0
98758,"calgary, alberta, canada",25.0
113817,"melbourne, victoria, australia",25.0
126604,"north reading, massachusetts, usa",27.0
146348,"tigard, oregon, usa",
172760,"san antonio, texas, usa",29.0
187763,"nyack, new york, usa",33.0
196108,"seattle, washington, usa",
206202,"arlington heights, illinois, usa",16.0
271622,"malmok, n/a, aruba",
3675,"barcelona, catalunya, spain",24.0
6366,"madrid, madrid, spain",20.0
13872,"barcelona, catalunya, spain",17.0
17183,"zaragoza, zaragoza, spain",23.0
18384,"palma de mallorca, baleares, spain",37.0
55217,"vigo, pontevedra, spain",26.0
80908,"lleida, catalunya, spain",30.0
94985,"sant cugat del vallès, catalunya, spain",39.0
105476,"zaragoza, aragón, spain",22.0
124888,"mataró, barcelona, spain",25.0
131126,"barcelona, catalunya, spain",31.0
134556,"santander, cantabria, spain",28.0
137437,"sevilla, sevilla, spain",26.0
141518,"vigo, pontevedra,",27.0
156502,"zaragoza, aragón, spain",33.0
157118,"bilbao, bizkaia, spain",
158627,"valladolid, castilla y león, spain",32.0
164533,"sitges, barcelona, spain",46.0
182987,"armentia, álava, spain",
187810,"cabrils, catalunya, spain",45.0
214920,"lleida, catalunya, spain",35.0
217740,"madrid, madrid, spain",37.0
229501,"zaragoza, zaragoza, spain",20.0
241268,"barcelona, catalunya, spain",34.0
248325,"zaragoza, dc, spain",33.0
164027,"burlington, ontario, canada",
174791,"long beach, california, usa",38.0
259901,"thompson, manitoba, canada",
242,"neuffen, baden-wuerttemberg, germany",37.0
487,"houston, texas, usa",
626,"graz, steiermark, austria",41.0
899,"bielefeld, nordrhein-westfalen, germany",23.0
901,"worcester, worcestershire, united kingdom",21.0
1025,"maidstone, england, united kingdom",33.0
1343,"bishop auckland, england, united kingdom",33.0
1435,"st. louis, missouri, usa",36.0
1733,"independence, west virginia, usa",30.0
1903,"hualien, taiwan, taiwan",36.0
2411,"lake city, florida, usa",37.0
2766,"frisco, texas, usa",42.0
3556,"bismarck, north dakota, usa",68.0
4092,"hixson, tennessee, usa",27.0
4131,"hemel hempstead, england, united kingdom",51.0
4285,"adrian, michigan, usa",50.0
4571,"melbourne, victoria, australia",23.0
5506,"cortlandt manor, new york, usa",19.0
5543,"cumberland, maryland, usa",29.0
5815,"rockville, maryland, usa",
6120,"elizabethtown, kentucky, usa",36.0
6251,"wahiawa, hawaii, usa",32.0
6431,"wylie, texas, usa",30.0
6543,"strafford, missouri, usa",
7105,"chertsey, england, united kingdom",
7125,"apo, ae, usa",28.0
7158,"omaha, nebraska, usa",30.0
7286,"pasco, washington, usa",28.0
7426,"la, california, usa",
7864,"klang, selangor, malaysia",17.0
8529,"logroño, la rioja, spain",
8660,"innsbruck, tirol, austria",25.0
8681,"orlando, florida, usa",
9224,"woodbridge, suffolk, united kingdom",
9381,"bagshot, surrey, united kingdom",
9414,"ipswich, suffolk, united kingdom",37.0
9571,"reinbek, schleswig-holstein, germany",27.0
9908,"woodstock, georgia, usa",36.0
10118,"minneapolis, minnesota, usa",44.0
10532,"shipley, west yorkshire, united kingdom",29.0
10570,"singapore, n/a, singapore",
10590,"shah alam, selangor, malaysia",22.0
10819,"richmond, kentucky, usa",27.0
11120,"kerava, uusimaa, finland",58.0
11245,"scarborough, ontario, canada",
11690,"landau, rheinland-pfalz, germany",30.0
11724,"west lawn, pennsylvania, usa",42.0
11832,"juneau, alaska, usa",
11944,"santo tirso, porto, portugal",21.0
11993,"lakewood, colorado, usa",37.0
12272,"ploiesti, prahova, romania",18.0
12331,"athens, n/a, greece",31.0
12512,"deventer, overijssel, netherlands",34.0
12835,"hamburg, hamburg, germany",38.0
13093,"zaragoza, aragon, spain",29.0
13221,"iqaluit, nunavut, canada",45.0
13600,"athens, athens, greece",
13664,"escondido, california, usa",
14049,"burnaby, british columbia, canada",
14079,"valencia, valencia, spain",41.0
14336,"manchester, new hampshire, usa",28.0
14387,"coalville, leicestershire, england, united kingdom",35.0
14461,"aachen, nordrhein-westfalen, germany",31.0
15049,"benbrook, texas, usa",28.0
15418,"vitoria, álava, spain",23.0
15957,"sydney, new south wales, australia",27.0
16086,"isle of wight, england, united kingdom",39.0
16130,"hercules, california, usa",
16155,"kuala lumpur, , malaysia",47.0
16263,"ashland, wisconsin, usa",
16319,"keith, south australia, australia",43.0
16504,"kuching, sarawak, malaysia",28.0
16634,"little rock, arkansas, usa",42.0
16943,"sydney, new south wales, australia",34.0
16999,"alexandria, virginia, usa",48.0
17282,"irwin, pennsylvania, usa",38.0
17507,"dublin, dublin, ireland",37.0
17842,"washington, dc, usa",21.0
17950,"puchong, selangor, malaysia",32.0
18323,"augusta, maine, usa",41.0
19085,"menomonie, wisconsin, usa",60.0
19974,"bradford, england, united kingdom",30.0
20060,"baltimore, maryland, usa",48.0
20147,"cincinnati, ohio, usa",
20201,"grove city, ohio, usa",31.0
20401,"graz, steiermark, austria",25.0
21031,"alexandria, virginia, usa",36.0
21252,"duluth, minnesota, usa",28.0
21364,"san diego, california, usa",32.0
21368,"currie, midlothian, united kingdom",30.0
21404,"west vancouver, british columbia, canada",
21484,"madison, wisconsin, usa",21.0
21576,"memphis, tennessee, usa",31.0
21659,"san jose, california, usa",31.0
21660,"chattanooga, tennessee, usa",52.0
21860,"bellingham, washington, usa",
22338,"florissant, missouri, usa",33.0
22362,"fresno, california, usa",31.0
22648,"selestat, alsace, france",35.0
22710,"bochum, nordrhein-westfalen, germany",33.0
22981,"rennes, bretagne, france",23.0
23571,"burbank, california, usa",41.0
23680,"carmichael, ,",34.0
23902,"london, england, united kingdom",34.0
24188,"college park, maryland, usa",
24194,"palos hills, illinois, usa",20.0
24921,"higley, arizona, usa",29.0
25395,"moyock, north carolina, usa",65.0
25533,"derby, derbyshire, united kingdom",38.0
25583,"worcester, massachusetts, usa",
25695,"albq, new mexico, usa",32.0
25890,"ridgewood, nj, usa",
25893,"merseburg, sachsen-anhalt, germany",23.0
26371,"vancouver, british columbia, canada",65.0
26443,"malakoff, hauts-de-seine, france",27.0
26509,"baltimore, maryland, usa",
26583,"dollard des ormeaux, quebec, canada",
26706,"st. louis, missouri, usa",28.0
26813,"città di castello, umbria, italy",28.0
27140,"baltimore, maryland, usa",49.0
27462,"lima, ohio, usa",
27740,"san diego, , usa",57.0
27812,"long beach, california, usa",33.0
27813,"boerne, texas, usa",
28204,"south ohio, nova scotia, canada",61.0
28360,"oakwood, georgia, usa",15.0
28492,"slough, england, united kingdom",31.0
28591,"michie, tennessee, usa",33.0
28663,"sant cugat del vallès, barcelona, spain",
28735,"hannover, niedersachsen, germany",58.0
28938,"asheville, north carolina, usa",38.0
29259,"mt. airy, , usa",39.0
29702,"chicago, ,",52.0
29855,"morris, connecticut, usa",53.0
30144,"apo, armed forces europe, usa",
30261,"manchester, missouri, usa",27.0
30273,"naples, florida, usa",25.0
30341,"union, maine, usa",
30445,"kuala lumpur, ,",23.0
30712,"edinburgh, scotland, united kingdom",
30727,"grossenhain, sachsen, germany",26.0
30806,"halifax, nova scotia, canada",24.0
30898,"richmond, virginia, usa",43.0
30972,"columbiana, alabama, usa",47.0
31466,"kingsville, ontario, canada",26.0
31652,"annandale, virginia, usa",
31826,"jasper, missouri, usa",54.0
32329,"pipe creek, texas, usa",30.0
32440,"dunedin, otago, new zealand",
32483,"barcelona, catalonia, spain",18.0
32627,"casper, wyoming, usa",49.0
32721,"toulouse, haute-garonne, france",36.0
32773,"olathe, kansas, usa",28.0
32817,"townsville, queensland, australia",
32963,"coal city, illinois, usa",56.0
33487,"adelaide, south australia, australia",26.0
33580,"rockwell, north carolina, usa",27.0
33816,"richmond hill, ontario, canada",33.0
33888,"oldham, england, united kingdom",48.0
33943,"lyon, rhône-alpes, france",25.0
34215,"brisbane, queensland, australia",28.0
34300,"burlington, ontario, canada",35.0
34823,"velpke, niedersachsen, germany",21.0
35910,"bakersfield, california, usa",16.0
36003,"shah alam, selangor, malaysia",26.0
36811,"rockwell, north carolina, usa",51.0
37293,"whitehorse, yukon territory, canada",41.0
37310,"americus, georgia, usa",33.0
37538,"kuala lumpur, n/a, malaysia",
37567,"medway, kent, united kingdom",36.0
37691,"helsinki, uusimaa, finland",26.0
37712,"cincinnati, ohio, usa",23.0
37950,"calgary, alberta, canada",
37974,"rochester, new york, usa",
37989,"union city, california, usa",57.0
38023,"hayward, california, usa",30.0
